start date,to bed,asleep,awake,out of bed
2021-03-05,02:47,05:00,08:05,?
2021-03-05,18:50,19:20,04:20,?
2021-03-06,10:00,11:00,13:00,?
2021-03-06,18:30,19:30,20:30,21:30
2021-03-07,02:03,04:01,10:43,11:30
2021-03-07,13:30,13:45,14:45,15:00
2021-03-07,22:46,,,04:00
2021-03-08,05:00,05:20,08:00,09:00
2021-03-08,18:04,18:30,23:00,23:00
2021-03-09,02:44,03:51,07:30,08:10
2021-03-09,20:00,,,23:30
2021-03-10,02:07,03:37,08:44,08:45
2021-03-10,19:00,19:45,22:35,23:10
2021-03-11,04:23,04:53,07:30,07:46
2021-03-11,13:14,14:11,16:00,17:09
2021-03-12,04:00,04:45,08:35,08:45
2021-03-12,19:22,20:45,00:47,01:15
2021-03-13,05:57,06:34,12:36,13:15
2021-03-14,01:20,04:50,12:00,12:00
2021-03-14,12:00,12:15,13:54,14:10
2021-03-14,19:00,19:15,20:30,21:09
2021-03-15,08:09,08:55,13:32,15:08
2021-03-15,21:05,22:23,22:58,23:00
2021-03-15,23:00,23:26,03:09,03:35
